,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms
5809,20781292,1,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,19.0,29,16,2,0.38,1.0
5810,20782591,0,1,Guindalera,Salamanca,Private room in apartment,Private room,1.0,2.0,31.0,178,12,1,0.28,1.0
5811,20784182,0,1,Aluche,Latina,Private room in apartment,Private room,1.0,1.0,22.0,91,2,2,0.07,1.0
5812,20785509,0,1,Rios Rosas,Chamberí,Private room in apartment,Private room,1.0,1.0,36.0,365,3,1,0.07,1.0
5813,20785551,0,0,Ciudad Universitaria,Moncloa - Aravaca,Private room in condominium,Private room,1.0,1.0,60.0,88,16,1,0.37,1.0
5814,20790803,1,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,2.0,105.0,130,81,7,1.85,2.0
5815,20794430,0,0,Argüelles,Moncloa - Aravaca,Entire apartment,Entire home/apt,4.0,5.0,140.0,0,10,1,0.23,2.0
5816,20795904,0,0,Aluche,Latina,Private room in apartment,Private room,1.0,1.0,14.0,287,44,1,1.0,1.0
5817,20796850,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,87.0,1,65,17,1.49,1.0
5818,20802151,0,0,Santa Eugenia,Villa de Vallecas,Private room in apartment,Private room,1.0,1.0,34.0,0,41,1,0.94,1.5
5820,20807349,0,1,Imperial,Arganzuela,Private room in apartment,Private room,1.0,1.0,27.0,0,111,2,2.64,1.0
5821,20809222,1,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,3.0,51.0,343,283,8,6.48,1.0
5822,20810516,0,0,Guindalera,Salamanca,Private room in apartment,Private room,1.0,1.0,70.0,0,0,1,0.0,1.0
5823,20810915,0,0,Chopera,Arganzuela,Private room in apartment,Private room,1.0,1.0,32.0,0,1,1,0.02,1.0
5824,20813229,0,1,Prosperidad,Chamartín,Entire apartment,Entire home/apt,1.0,3.0,75.0,260,1,12,0.02,1.0
5826,20813636,0,0,Justicia,Centro,Private room in guest suite,Private room,1.0,1.0,40.0,0,0,1,0.0,1.0
5827,20813778,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,82.0,169,145,25,3.34,1.0
5828,20814468,1,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,42.0,297,362,8,8.26,1.0
5829,20814789,1,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,34.0,273,328,8,7.52,1.0
5830,20815153,1,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,3.0,35.0,346,293,8,6.69,1.0
5831,20815977,0,0,Guindalera,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,90.0,0,1,1,0.02,1.0
5832,20818405,0,0,Justicia,Centro,Private room in house,Private room,1.0,1.0,40.0,0,0,1,0.0,1.0
5833,20823320,1,0,Numancia,Puente de Vallecas,Entire apartment,Entire home/apt,3.0,3.0,55.0,288,7,1,0.17,1.0
5834,20825778,1,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,38.0,180,133,2,3.04,1.0
5835,20827124,0,1,Sol,Centro,Private room in apartment,Private room,1.0,1.0,32.0,0,141,8,3.3,1.0
5837,20832570,0,1,Cuatro Caminos,Tetuán,Entire apartment,Entire home/apt,1.0,2.0,56.0,319,91,7,2.1,1.0
5838,20834855,0,0,Bellas Vistas,Tetuán,Private room in guest suite,Private room,1.0,1.0,20.0,0,2,1,0.05,1.5
5839,20839439,0,1,Embajadores,Centro,Entire condominium,Entire home/apt,1.0,1.0,55.0,94,276,7,6.32,1.0
5840,20839512,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,59.0,351,39,5,0.92,1.5
5842,20842630,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,4.0,6.0,125.0,122,163,12,3.73,3.0
5843,20844850,0,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,4.0,61.0,90,110,4,2.58,1.0
5844,20845149,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,33.0,0,66,3,1.51,1.0
5845,20852807,0,1,Imperial,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,90.0,0,18,11,0.43,1.0
5846,20853622,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,70.0,0,22,1,0.51,1.0
5847,20853920,1,1,Imperial,Arganzuela,Entire apartment,Entire home/apt,1.0,1.0,95.0,0,34,2,0.81,1.0
5848,20854599,0,1,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,36.0,0,90,2,2.09,1.0
5849,20856198,0,1,Aluche,Latina,Private room in apartment,Private room,1.0,1.0,22.0,0,18,1,0.42,1.0
5850,20859057,0,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,1.0,110.0,58,11,72,0.41,1.0
5851,20866508,0,0,Opañel,Carabanchel,Entire apartment,Entire home/apt,3.0,3.0,65.0,1,0,2,0.0,1.0
5852,20870547,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,58.0,0,4,5,0.09,1.0
5853,20871385,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,20.0,0,3,1,0.07,2.0
5854,20871817,0,1,Casco Histórico de Barajas,Barajas,Private room in apartment,Private room,1.0,2.0,20.0,191,199,1,4.55,1.0
5855,20873771,0,0,Los Rosales,Villaverde,Private room in apartment,Private room,1.0,1.0,31.0,365,4,1,0.09,1.0
5856,20878513,1,1,Fuente del Berro,Salamanca,Private room in apartment,Private room,1.0,1.0,31.0,208,32,1,0.74,1.5
5857,20879509,0,1,Recoletos,Salamanca,Private room in apartment,Private room,1.0,1.0,90.0,0,0,2,0.0,1.0
5858,20879942,0,1,Recoletos,Salamanca,Private room in apartment,Private room,1.0,1.0,65.0,0,0,5,0.0,1.0
5859,20881847,1,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,40.0,1,60,1,1.39,1.0
5860,20882492,0,1,Recoletos,Salamanca,Private room in apartment,Private room,1.0,1.0,120.0,0,0,5,0.0,1.0
5861,20882910,0,1,Recoletos,Salamanca,Private room in apartment,Private room,1.0,1.0,90.0,0,3,5,0.07,1.0
5862,20883070,0,1,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,98.0,245,38,16,0.9,1.0
5863,20883090,0,1,Recoletos,Salamanca,Private room in apartment,Private room,1.0,2.0,90.0,0,1,5,0.02,1.0
5864,20883697,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,86.0,245,39,16,0.9,1.0
5865,20885517,0,1,Bellas Vistas,Tetuán,Casa particular,Entire home/apt,1.0,2.0,90.0,0,7,1,0.17,1.0
5866,20885896,0,0,Los Angeles,Villaverde,Entire apartment,Entire home/apt,2.0,2.0,28.0,0,0,1,0.0,1.0
5867,20887909,0,1,Guindalera,Salamanca,Entire house,Entire home/apt,1.0,1.0,80.0,0,4,1,0.09,1.0
5868,20891079,0,1,Legazpi,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,31.0,354,242,9,5.55,1.0
5869,20891373,0,1,Legazpi,Arganzuela,Entire apartment,Entire home/apt,1.0,4.0,31.0,356,217,9,5.0,1.0
5870,20893518,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,98.0,258,63,16,1.45,1.0
5872,20893716,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,104.0,0,64,16,1.52,1.0
5873,20894229,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,55.0,64,62,1,1.44,1.0
5874,20897419,0,1,Chopera,Arganzuela,Private room in house,Private room,1.0,1.0,21.0,74,189,1,4.32,1.0
5875,20899565,0,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,94.0,147,18,24,0.52,1.0
5876,20900488,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,29.0,269,126,2,2.89,1.0
5877,20907122,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,33.0,0,86,1,1.98,1.0
5879,20907944,1,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,20.0,0,119,1,2.75,1.0
5880,20909506,0,1,Concepción,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,35.0,0,0,1,0.0,1.5
5881,20910838,1,1,Berruguete,Tetuán,Entire apartment,Entire home/apt,2.0,3.0,51.0,0,9,1,0.26,1.0
5882,20913454,0,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,3.0,33.0,0,53,10,2.03,1.0
5884,20925743,1,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,2.0,3.0,86.0,101,74,11,1.71,2.0
5885,20927928,0,1,Palomeras Bajas,Puente de Vallecas,Entire apartment,Entire home/apt,1.0,1.0,40.0,333,36,2,0.83,1.5
5886,20928197,1,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,100.0,342,71,1,1.64,1.0
5887,20931830,1,1,Alameda de Osuna,Barajas,Private room in apartment,Private room,1.0,2.0,61.0,60,18,2,0.84,1.0
5888,20931840,1,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,58.0,0,32,1,0.74,1.0
5889,20939364,0,0,Rios Rosas,Chamberí,Entire house,Entire home/apt,2.0,4.0,45.0,0,9,2,0.21,1.5
5890,20939932,1,1,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,36.0,365,19,2,0.44,1.0
5891,20940200,0,1,Embajadores,Centro,Private room in house,Private room,1.0,1.0,58.0,0,38,1,0.89,1.0
5892,20940875,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,0.0,43.0,0,96,1,2.2,1.0
5893,20943314,0,1,Rios Rosas,Chamberí,Entire apartment,Entire home/apt,2.0,3.0,99.0,365,19,6,0.49,2.0
5894,20943727,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,4.0,106.0,296,26,5,0.61,2.0
5896,20952037,0,1,Adelfas,Retiro,Entire apartment,Entire home/apt,1.0,1.0,42.0,0,10,1,0.23,1.0
5897,20955090,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,97.0,118,3,72,0.07,1.0
