,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms,puntuacion_media
13779,39427340,0,1,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,36.0,72,6,1,0.34,1.0,5.0
13780,39430643,0,1,Cortes,Centro,Entire apartment,Entire home/apt,3.0,4.0,91.0,277,33,3,1.89,2.0,4.730769230769231
13781,39437658,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,3.0,114.0,0,13,12,0.75,2.0,4.636363636363637
13786,39443120,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,2.0,101.0,276,22,1,1.25,2.5,4.8125
13787,39445965,1,1,Embajadores,Centro,Private room in hostel,Private room,1.0,2.0,55.0,74,8,9,0.45,2.0,4.428571428571429
13788,39446119,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,51.0,365,2,2,0.12,1.5,5.0
13789,39452100,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,45.0,0,2,1,0.11,1.0,5.0
13791,39459173,1,1,San Isidro,Carabanchel,Entire apartment,Entire home/apt,1.0,2.0,38.0,0,17,2,0.95,1.0,4.583333333333333
13792,39461292,0,0,Numancia,Puente de Vallecas,Private room in apartment,Private room,1.0,1.0,60.0,362,10,2,0.6,1.5,4.6
13794,39466617,0,1,Puerta Bonita,Carabanchel,Private room in apartment,Private room,1.0,1.0,21.0,364,2,3,0.11,1.0,5.0
13796,39467591,0,1,Ventas,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,35.0,0,1,1,0.06,1.0,5.0
13797,39468319,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,39.0,31,119,5,6.61,1.5,4.554455445544554
13799,39480856,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,3.0,63.0,319,45,4,2.52,1.0,4.0
13800,39482590,1,1,Argüelles,Moncloa - Aravaca,Entire apartment,Entire home/apt,2.0,2.0,103.0,365,6,1,0.34,1.0,4.75
13801,39483499,0,0,Vista Alegre,Carabanchel,Private room in apartment,Private room,1.0,1.0,32.0,365,1,1,0.06,1.0,1.0
13804,39497072,0,0,Pradolongo,Usera,Private room in house,Private room,1.0,1.0,23.0,90,6,1,0.35,1.5,5.0
13805,39497555,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,96.0,0,11,1,0.64,2.0,4.888888888888889
13808,39504398,1,1,San Isidro,Carabanchel,Entire apartment,Entire home/apt,1.0,2.0,44.0,141,1,21,0.07,1.0,5.0
13809,39505233,0,1,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,31.0,0,18,2,1.0,1.0,4.333333333333333
13810,39505863,1,1,Goya,Salamanca,Private room in apartment,Private room,1.0,1.0,26.0,0,13,1,0.74,1.0,4.7
13811,39507359,0,1,Palacio,Centro,Private room in apartment,Private room,1.0,0.0,43.0,364,17,2,0.95,1.0,4.846153846153846
13812,39514922,0,1,Vista Alegre,Carabanchel,Entire apartment,Entire home/apt,2.0,4.0,34.0,169,46,1,2.7,1.0,4.609756097560975
13813,39515883,0,0,Adelfas,Retiro,Entire condominium,Entire home/apt,1.0,1.0,53.0,180,1,1,0.06,1.0,1.0
13814,39519445,0,0,Castillejos,Tetuán,Entire apartment,Entire home/apt,1.0,2.0,77.0,9,5,1,0.3,1.5,5.0
13816,39520474,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,100.0,0,2,1,0.11,2.0,4.5
13818,39521170,1,0,Imperial,Arganzuela,Entire apartment,Entire home/apt,3.0,3.0,77.0,294,10,1,0.57,1.0,4.857142857142857
13819,39523675,0,1,San Pascual,Ciudad Lineal,Entire apartment,Entire home/apt,3.0,4.0,86.0,0,27,3,1.53,2.0,4.619047619047619
13821,39524757,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,59.0,0,12,2,0.67,1.0,4.363636363636363
13822,39525828,1,1,Ibiza,Retiro,Entire apartment,Entire home/apt,1.0,1.0,101.0,311,15,1,0.86,1.0,5.0
13823,39533744,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,100.0,335,15,1,0.86,1.0,4.266666666666667
13829,39549989,0,1,Palos de Moguer,Arganzuela,Private room in hostel,Private room,1.0,1.0,38.0,360,14,5,0.88,1.0,4.583333333333333
13830,39550203,0,1,Palos de Moguer,Arganzuela,Private room in hostel,Private room,1.0,1.0,40.0,363,22,5,1.41,1.0,4.7894736842105265
13831,39550273,0,1,Palos de Moguer,Arganzuela,Private room in hostel,Private room,1.0,1.0,43.0,364,74,5,4.48,1.0,4.676923076923077
13832,39550335,0,1,Palos de Moguer,Arganzuela,Private room in hostel,Private room,1.0,2.0,43.0,358,3,5,0.19,1.0,4.333333333333333
13833,39550374,0,1,Palos de Moguer,Arganzuela,Private room in hostel,Private room,1.0,2.0,48.0,365,23,5,1.43,1.0,4.470588235294118
13835,39560039,0,0,San Diego,Puente de Vallecas,Private room in apartment,Private room,1.0,0.0,20.0,90,7,2,0.4,1.0,4.6
13837,39569027,0,0,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,80.0,270,15,1,0.85,1.0,4.928571428571429
13838,39569583,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,2.0,35.0,32,46,1,2.59,1.0,4.592592592592593
13840,39574543,1,1,Embajadores,Centro,Private room in hostel,Private room,1.0,2.0,55.0,349,7,9,0.41,2.0,4.833333333333333
13841,39575723,1,1,Embajadores,Centro,Private room in hostel,Private room,1.0,1.0,55.0,75,4,9,0.24,2.0,3.6666666666666665
13842,39580974,0,1,Alameda de Osuna,Barajas,Entire condominium,Entire home/apt,2.0,3.0,105.0,90,4,1,0.29,1.0,4.25
13846,39597461,0,1,Opañel,Carabanchel,Entire apartment,Entire home/apt,3.0,5.0,73.0,343,1,1,0.07,1.0,4.0
13848,39599930,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,129.0,0,2,72,0.11,1.0,4.0
13849,39600699,0,1,Justicia,Centro,Shared room in hostel,Shared room,1.0,12.0,199.0,319,1,12,0.07,1.0,5.0
13850,39600725,0,1,Casa de Campo,Moncloa - Aravaca,Entire apartment,Entire home/apt,1.0,1.0,41.0,90,8,3,0.47,1.0,4.0
13851,39600798,0,1,Justicia,Centro,Shared room in hostel,Shared room,1.0,10.0,199.0,319,1,12,0.14,1.0,5.0
13852,39601169,0,1,Trafalgar,Chamberí,Shared room in hostel,Shared room,1.0,8.0,199.0,319,1,12,0.07,1.0,5.0
13859,39601998,0,1,Justicia,Centro,Private room in hostel,Private room,1.0,2.0,199.0,319,1,12,0.07,1.0,4.0
13860,39602013,0,1,Trafalgar,Chamberí,Private room in hostel,Private room,1.0,1.0,199.0,319,2,12,0.15,1.0,5.0
13861,39602814,0,0,Palos de Moguer,Arganzuela,Private room in apartment,Private room,1.0,1.0,40.0,0,1,1,0.06,1.0,4.0
13862,39609121,0,0,Casco Histórico de Vallecas,Villa de Vallecas,Private room in townhouse,Private room,1.0,1.0,40.0,365,3,1,0.18,1.5,5.0
13866,39619462,0,1,Rosas,San Blas - Canillejas,Private room in house,Private room,1.0,1.0,20.0,365,8,4,0.46,1.5,4.875
